ID,plot,date,gps_file,team,elevation,bearing,easting,northing,aspect,slope,plantation,landform,site_charac,site_pics,site_folder,hp_photographer,hp_date,hp_camera,hp_folder,hp_start_time,hp_end_time,hp_sun_dir,,
400,BH16,6/23/08 0:00,,,0,48,0,0,31,<1%,0,Mesic/ wetland,"Wet, near bog/ wetland. Some detritus. Significant understorey. Gappy canopy. Open water near plot/ under",7-Jan,,,NULL,,,NULL,NULL,0,,
270,BI01,7/19/08 0:00,R071914A,VACS,0,270,0,0,None,<1%,0,Mid-slope,"Mesic; lots of down trees near and surrounding plot; some from recent blowdown, others prior; little to no understorey; probable browsing on plot; no seedling layer",6-Jan,,,NULL,,,NULL,NULL,0,,
299,BI01_2010,10/7/10 0:00,,PMSN,246,125,43.65192,-89.788332,,,0,,"Flat, NH stand, previous study plot with decomp bags remaining. Some large down trees with single treefall gaps in canopy, minimal understory with grass dominating.",,,,NULL,,,NULL,NULL,0,,
271,BI02,7/19/08 0:00,R071918B,KJB,0,0,0,0,N/A,N/A,0,,"Upland; heavy grazing; no saplings; some little coarse woody debris; ACSM, QURU and QUAL in the upper canopy; OSVI at one end of the plot",,,,NULL,,,NULL,NULL,0,,
300,BI02_2010,10/7/10 0:00,,PSNM,NULL,70,NULL,NULL,,,0,,"Flat, upland NH/Oak stand, large red and white oaks acround plot; red oak DBH 70cm. very low understory cover with lots of bare ground showing. A few large fallen trees aruond plot.",,,,NULL,,,NULL,NULL,0,,
272,BI03,7/19/08 0:00,R071918A,VSA,272,36,274999,4836858,None,1%,0,Mid-slope,"Recent wind throw/ blowdown in vicinity. Mesic. Old fallen tree boles surrounding and within plot. Limited understorey/ herb layer. No seedlings. QURU in canopy, ACSM codominant.",43-49,,,7/19/08 0:00,,,7/19/08 0:00,7/19/08 0:00,0,,
301,BI03_2010,10/7/10 0:00,,,NULL,143,NULL,NULL,,,0,,"Oak, NH stand with large red oaks (>76cm) surrounding and within plot; fell just outside of 20x20m plot. Little to no understory with some grass covver. Moderate CWD on forest floor.",,,,NULL,,,NULL,NULL,0,,
273,BI04,7/19/08 0:00,,JKB,0,60,0,0,N/A,0%,0,Flat upland,Very open; sandy soils; some large-size coarse woody debris; canopy dominated by oak (mostly QURU); understorey is maple with some basswood,,,,NULL,,,NULL,NULL,0,,
302,BI04_2010,10/7/10 0:00,,SNPM,NULL,95,NULL,NULL,,,0,,,,,,NULL,,,NULL,NULL,0,,
274,BI05,7/19/08 0:00,R07191A,JSBA,287,96,274189,4836718,None,,0,Rolling,Moderate mesic; generally high herb layer; sapling vegetation to south of plot,,,S,7/19/08 0:00,CP5000,,7/19/08 7:50,7/19/08 8:02,0,,
304,BI05_2010,10/7/10 0:00,,,NULL,NULL,NULL,NULL,,,0,,Plot was flooded during 2010 late summer/early fall flood on WI river,,,,NULL,,,NULL,NULL,0,,
275,BI06,7/20/08 0:00,,,0,270,0,0,None,,0,"Mid-slope, upper convex slope",PIST and QURU in the canopy; ACSM in the subcanopy; PIST seedlings on forest floor,6-Jan,,,7/20/08 0:00,,,7/20/08 0:00,7/20/08 0:00,0,,
306,BI06_2010,10/7/10 0:00,,MNSP,NULL,190,NULL,NULL,,,0,,,,,,NULL,,,NULL,NULL,0,,
307,BI07_2010,10/7/10 0:00,R100771B,MNPS,NULL,25,43.65222,-89.794437,N,2-4%,0,,Rolling terrain with some grass cover and lots of bare ground. Moderate amount of CWD on forest floor. Some white pine in sub canopy/understory some moss cover.,,,,NULL,,,NULL,NULL,0,,
308,BI08_2010,10/7/10 0:00,,SNPM,NULL,140,NULL,NULL,,,0,,,,,,NULL,,,NULL,NULL,0,,
310,BI09_2010,10/7/10 0:00,R100711B,,301,37,43.65313,-89.78996,N,5-10%,0,,Plot slopes toward river with hemlock lining edge of island. A few large down trees. Little to no understory with some grasses. A couple large gaps in the canopy with smaller AcSm capturing the gaps.,,,,NULL,,,NULL,NULL,0,,
311,BI10_2010,10/7/10 0:00,R100711B,MNPS,279,303,43.65115,-89.78698,n/a,0%,0,flat,"Upland NH stand with a large amount of CWD on forest floor. Some large tree fall gaps from recent blowdowns, understory of grasses, no saplings or shrubs.",,,,NULL,,,NULL,NULL,0,,
170,GR08,8/13/08 0:00,,"B,G,&L",932,130,0,0,None,,0,random planted plantation,near campsite 15 (NW 30m from center),,,,NULL,,,NULL,NULL,0,,
176,IDS01,8/12/08 0:00,,"B,G,&L",0,120,0,0,300,,0,mid-slope (convex),subplot B is 10-15 m from a road,,,,NULL,,,NULL,NULL,0,,
175,IDS05,8/13/08 0:00,,"B,G,&L",0,290,0,0,30,25-May,0,Convex Ridge,Steepslope to C (25%),,,,NULL,,,NULL,NULL,0,,
172,IDS10,8/12/08 0:00,,"B,G,&L",0,140,0,0,None,,0,mid-slopew / drainage swale,,,,,NULL,,,NULL,NULL,0,,
168,IDS23,8/4/08 0:00,,"B,G,&L",0,0,0,0,90,5,0,mid-slope,"lots of ferns & grasses, old logging road through plot, lots of huge red oaks dead, stripe maples make up shrub",,,,NULL,,,NULL,NULL,0,,
167,IDS25,8/8/08 0:00,,"B,G,&L",0,90,0,0,135,10,0,mid-slope,"stream tributaries (multiple) in plot, heavy rhododendron",,,,NULL,,,NULL,NULL,0,,
169,IDS34,8/8/08 0:00,,"B,G,&L",0,180,0,0,None,,0,,,,,,NULL,,,NULL,NULL,0,,
166,IDS35,8/5/08 0:00,,"B,K,G,&L",0,80,0,0,None,,0,Valley Bottom,"stream at edge of plot, plot goes form level valley to uphill slope",,,,NULL,,,NULL,NULL,0,,
171,IDS36,8/5/08 0:00,,"B,K,G,&L",0,250,0,0,70,30,0,mid-slope,"lots of ferns, some downed trees",,,,NULL,,,NULL,NULL,0,,
174,IDS40,8/4/08 0:00,,"B,G,&L",0,100,0,0,340,10,0,upper convex,"some mortality of QURU (gypsy moth?) & QUPR, some moss & laurel",,,,NULL,,,NULL,NULL,0,,
179,MN01,7/26/08 0:00,R072610A,KVSBJ,585,270,5278731.6,618776.3,None,,0,"Flat, rolling (slightly falling)","Thick understorey and herb layer; some single tree-fall gaps; moderate degree of organic debris; PIST and BEPA in the canopy, ACSP and COAM beneath (see drawing)",6-Jan,,S,NULL,,,NULL,NULL,0,,
180,MN02,7/26/08 0:00,R072612A,VJKSB,0,354,0,0,None,0-7%,0,"Ridge/valley, only about 20m long, 5m up and down","Undulating terrain, light windthrow. Heavy canopy competition between PIBA, ABBA and POTR. Some organic debris. Mesic; rocky substrate - rocks less than one foot below litter layer (rocks greater than 6 inches in depth)",11-Jul,,,7/26/08 0:00,,,7/26/08 8:11,7/26/08 0:00,0,,
181,MN03,7/26/08 0:00,R072616A,VSKJB,499,246,611582,5288575,None,1,1,Mid-slope,Logged. Moderate mesic. Medium sized red pines; some organic debris on forest floor; high herb and understorey layer,20-26,,,7/26/08 0:00,,,7/26/08 20:15,7/26/08 0:00,0,,
183,MN04,7/26/08 0:00,R072618A,VSBJK,448,132,606898.56,528846.19,NA,NA,0,Bog,"Black spruce; lowland, bog; sphagnum moss ground layer; Labrador Tea understorey; some old cutting evidence; minimal cut stumps",27-34,,,7/28/08 0:00,,,7/28/08 0:00,7/28/08 0:00,0,,
184,MN05,7/27/08 0:00,R072713A,JVKSB,460,42,628680.4,5251925.9,None,0,0,Mesic upland,"Lots of ferns, diverse shrub layer but relatively homogenous overstorey",,,,7/28/08 0:00,,,7/28/08 0:00,7/28/08 0:00,0,,
185,MN06,7/27/08 0:00,R072716A,,362.3,240,633412.55,5249681.4,None,0,0,Wetland (swamp),Wetland; low canopy; mostly black ash canopy,,,S,7/31/08 0:00,,,7/31/08 0:00,7/31/08 0:00,0,,
186,MN07,7/29/08 0:00,R072917A,JVKSB,558,210,628902,5261839,None,0,0,Lowland swamp,"NWC lowland; broken canopy of mostly THOC with seedling layer of THOC, ABBA, FRNI, ALRU. Most canopy trees standing at angle, lots of ground layer texture.",<83,,S,NULL,,,NULL,NULL,0,,
187,MN08,7/29/08 0:00,R072918A,VJKBS,592,204,626870,5266033,N/A,0,0,Swampy bog,"Sphagnum wetland with few to no openings in moss cover, with dense black spruce growth, and few taller tamaracks.",,,S,NULL,,,NULL,NULL,0,,
188,MN09,7/30/08 0:00,MN09,KVS,593,258,629488,5262435,None,2%,0,Mid-slope,"Terrain slopes toward railroad. Previously logged. Many maple seedlings. Some >40cm stumps, CWD and fallen logs. Mesic, deep rich topsoil. High canopy closure. Evidence of surface fire; previously contained wet spp. Some gaps (small, single trees)",83-,,S,7/30/08 0:00,,,7/30/08 0:00,7/30/08 0:00,0,,
276,NC01,7/8/08 0:00,,KBVJS,457,216,672839,5054686,None,,0,"Mesic, upland",Near spruce bog; mesic upland; moderate amounts of fallen debris/detritus; self thinning debris; thick understorey,,,,NULL,,,NULL,NULL,0,,
277,NC02,7/9/08 0:00,,KVJSB,433,126,671980,5055098,None,,0,Mid-slope (minor),,9-Jan,NIKON,SS,7/10/08 0:00,CP5000,NIKON,7/10/08 0:00,7/10/08 0:00,90,,
278,NC03,7/9/08 0:00,,,0,324,0,0,None,,0,Upper convex slope,FRAM and ACSM in canopy,,,JS,7/10/08 0:00,CP5000,NIKON,7/10/08 0:00,7/10/08 0:00,90,,
279,NC04,7/10/08 0:00,,SBKVJ,436,198,673427,5054675,None,0,0,Top of plateau,Logging; mesic; dense herb layer; some detritus; open; near slope to stream bottom,108-115,NIKON,J,7/10/08 0:00,,,7/10/08 10:00,7/10/08 10:45,90,,
280,NC05,7/11/08 0:00,,KVSBJ,499,108,712329,5091065,None,,0,"Bottom slope, flat",Logged (old clear cut); mesic; relatively open canopy; strong ABBA regeneration in sapling layer; lots of understorey gappy canopy layer,41-47,NIKON,S,7/11/08 0:00,CP5000,NIKON,7/11/08 14:52,7/11/08 15:25,270,,
281,NC06,7/11/08 0:00,,KBVJS,488,72,714584,5091476,S,1%,1,"Mid-slope, gentle",Red pine plantation with strong hazelnut understorey,127-132,NIKON,S,7/11/08 0:00,CP5000,NIKON,7/11/08 16:13,7/11/08 16:32,270,,
282,NC07,7/11/08 0:00,,,0,348,0,0,E,1%,0,Slope,"Old clearcut colonized by POTR, which are beginning to self-thin. Heavy amount of coarse woody debris on site.",,,S,7/11/08 0:00,CP5000,NIKON,7/11/08 18:15,7/11/08 18:41,270,,
303,NC08,7/12/08 0:00,,KVSBJ,481,90,711105,5091894,None,,0,Bog (sphagnum),Tamarack bog with sphagnum and labrador tea understorey; open; hydric; peat bog; some organic detritus,6-Jan,,,NULL,,,NULL,NULL,0,,
283,NC09,7/12/08 0:00,,VSKBJ,477,258,710411,5094454,NA,0,0,"Bog, lowland",Lowland bog; hydric; sphagnum ground layer; black ash canopy; thick and wet understorey; high moss cover; lots of organic debris on forest floor (fallen logs),15-Jul,,S,7/14/08 0:00,CP5000,NIKON,7/14/08 0:00,7/14/08 0:00,270,,
284,NC10,7/12/08 0:00,R071215A,JSBVK,491,294,714971,5093160,None,,0,Bog,"Black spruce, tamarack bog; Labrador Tea and Sphagnum moss on the ground layer; coarse woody debris; LALA comprises the upper canopy; mostly broadleaf understorey",16-23,NIKON,VS,7/12/08 0:00,CP5000,NIKON,7/12/08 0:00,7/12/08 0:00,270,,
285,NC11,7/13/08 0:00,R071317A,VJSBK,493,282,714622,5095348,E-NE,1%,0,Mid-slope,Mesic; some debris on surface; thick understorey below knee height; near small stream; relatively closed canopy,100-107,NIKON,JS,7/13/08 0:00,CP5000,NIKON,7/13/08 16:09,7/13/08 16:29,270,,
286,NC12,7/14/08 0:00,R071411A,KVS,0,50,0,0,None,,1,Rolling (center in valley),COAM and PRsp understorey; shrubs (some maple seedlings/saplings); evidence of logging; dry mesic (in between); near swamp/bog edge; plot fully covered,6-Jan,NIKON,SB,7/15/08 0:00,CP5000,NIKON,7/15/08 20:13,7/15/08 20:32,270,,
287,NC13,7/14/08 0:00,R071412A,VSK,0,192,0,0,None,,1,Mid-slope,Previously logged; maple/ hazelnut understorey; shrub/sap layer; moderate mesic; thick understorey (below maple layer),12-Jul,,JS,7/16/08 0:00,CP5000,NIKON,7/16/08 16:38,7/16/08 0:00,250,,
288,NC14,7/15/08 0:00,,KVSBJ,0,150,0,0,None,,0,,Note: samples collected from bottom may more closely resemble mid/topo levels as whole aspen canopy is sunlit,,,,NULL,,,NULL,NULL,0,,
255,NC15,6/22/10 0:00,,,467,300,45.98062,90.23266,na,0,0,bottomland HDW,"bottom land, hardwood forest w/ some standing water, herb/grass understory. seedlings and saplings of maple and ash. some large down trees and CWD. rock soil.",10-Jan,,,NULL,,,NULL,NULL,0,,
256,NC16,6/22/10 0:00,,DBHAS,477,270,45.95852,90.24403,S-SW,1,0,mid-slope,,21-Oct,,,NULL,,,NULL,NULL,0,,
257,NC17,6/23/10 0:00,,ABDHS,488,66,45.94475,90.25908,NW,2-Jan,0,"mid-slope, upper slope","mesic mixed NH stand with AcSm dominate along w/ basswood and ash in the canopy. high ash regen in seed/saplayer, site was thinned in the past 10-15 year. some CWD on forest floor, grass ground cover",8-Jan,,,NULL,,,NULL,NULL,0,,
258,NC18,6/23/10 0:00,,,NULL,NULL,NULL,NULL,,,0,,White pine stand ,,,,NULL,,,NULL,NULL,0,,
259,NC19,6/24/10 0:00,R062411A,,NULL,160,NULL,NULL,,,1,,"red pine plantation with high CoAm cover in understory w/ a few AcRu, AbBa, & PiGl. High herb/grass cover. Not much CWD on forest floor. Typical RP plantation",,,,NULL,,,NULL,NULL,0,,
260,NC20,6/24/10 0:00,,,NULL,360,NULL,NULL,,,0,,"Upper convex slope white pine stand, maple (sugar and red) and yellow birch in sub canopy. white pine dominates canopy. some thinning in the distant past (decaying stumps and nurse logs). lots of CWD. mat of white pine needles under herb layer. Some standing dead snags (>35cm)",119-,,,NULL,,,NULL,NULL,0,,
261,NC21,6/26/10 0:00,,,NULL,40,NULL,NULL,,,0,,,,,,NULL,,,NULL,NULL,0,,
263,NC22,8/31/10 0:00,R030120A,AHS,NULL,58,NULL,NULL,E,1,0,mid-slope,"Plot opposite side of road from WC flux tower. NH forest with maple, ash, cherry, basswood, and oak. Former research plot, tagged trees, old sap flow mounts, litter baskets, etc. Moderate shrub/sap layer, high herb cover. Lots of ferns, high grass cover, undulating terrain, some trenches and low spots with water, slopes east from road. maples and ash beginning to senesce.",,,,NULL,,,NULL,NULL,0,,
264,NC23,9/1/10 0:00,R030120A,HAS,NULL,120,NULL,NULL,SW,0.5,0,,"NH/Red oak stand, some large exposed rocks, undulating terrain with tipup mounds, lots of CWD on forest floor; high grass cover. Some leaf litter on ground. Some moderate canopy gaps with saplings capturing the gaps. Maples beginning to senesce.",,,,NULL,,,NULL,NULL,0,,
189,OF01,6/28/09 0:00,R062811A,SCALPJAB,548,42,327050,5117999,N/A,0,0,Plateau,"Hemlock/ hardwood stand. Undulating terrain, some CWD. Minimal shrub and sap layer. Lots of dead leaves on ground.",,,Shawn,6/28/09 0:00,,,6/28/09 0:00,6/28/09 0:00,0,,
190,OF02,6/28/09 0:00,R062811A,SCALPJAB,481,48,332150,5134897,SSW,1,1,Flat,Red pine plantation. High herb layer. Some CWD. Relatively open under canopy.,,,,6/28/09 0:00,,,6/28/09 0:00,6/28/09 0:00,0,,
191,OF03,6/28/09 0:00,R062811A,SCALPJAB,563,174,318753,5123410,N/A,0,0,Lowland,Hemlock lowland with undulating terrain. Some wet swampy spots with standing water. Large down trees on forest floor. Moderate amounts of other CWD. Single treefall gaps.,,,Shawn S.,6/28/09 0:00,,,6/28/09 0:00,6/28/09 0:00,0,,
